Acc	Results	Terms	ReleaseDate	Taxa	Platforms	AllPlatformsInGemma	Affy	NumSamples	Type	SuperSeries	SubSeriesOf	PubMed	Title	Summary	MeSH	SampleTerms
GSE171039	True	[['satellite', 'satellite', 'satellite']]	2021.07.28	Mus musculus	GPL24247;GPL19057	True	False	10	Expression profiling by high throughput sequencing	False			Dissecting mechanisms by which MyoD and small molecules convert fibroblasts to muscle progenitor cells	The generation of myotubes from fibroblasts upon forced MyoD expression is a classic example of factor-induced reprogramming in mammals. We recently discovered that additional modulation of signaling pathways with small molecules facilitates reprogramming to more primitive induced muscle progenitor cells (iMPCs). However, the mechanisms by which a single transcription factor drives differentiated cells into distinct developmental states remain unknown. We therefore dissected the transcriptional and epigenetic dynamics of fibroblasts undergoing MyoD-dependent reprogramming to either myotubes or iMPCs using a novel MyoD transgenic model. To this end, we performed single cell RNA sequencing for Pax7-nGFP positive iMPCs/satellite cells and cells undergoing dedifferentiation (i.e. Dox+FRG) or transdifferentiation (i.e. Dox) Our analyses elucidate the role of MyoD in myogenic reprogramming and derive general principles by which transcription factors and signaling pathways cooperate to rewire cell identity. Our results may also inform on potential therapeutic applications of direct reprogramming.		E13.5 embryo;overexpressing MyoD in the presense of Forskolin, Repsox and GSK3 inhibitor (FRG) for 8 days;overexpressing MyoD for 2 days;overexpressing MyoD in the presense of Forskolin, Repsox and GSK3 inhibitor (FRG) for 2 days;not cultured in vitro (freshly isolated from in vivo);Skeletal muscles (8-10 weeks age of mice);cultured in satellite cell medium for 4 days then cultured in differentiating medium for 2 days;Muscle progenitor cells/Myocytes/Myotubes derived from MEFs;E13.5;cultured in satellite cell medium for 6 days;muscle stem cells cultured in vitro for 6 days;Mouse embryonic fibroblasts (MEFs);overexpressing MyoD for 4 days;skeletal muscle tissue;C57BL6J/129Sv;Muscle progenitor cells derived from MEFs;cultured in MEF medium for 2 days;overexpressing MyoD in the presense of Forskolin, Repsox and GSK3 inhibitor (FRG) for 10 days, Pax7-nGFP sorted by FACS;muscle stem cells cultured in vitro for 2 days with horse serum;overexpressing MyoD in the presense of Forskolin, Repsox and GSK3 inhibitor (FRG) for 4 days;muscle stem cells freshly isolated from skeletal muscles;Myocytes/Myotubes derived from MEFs
GSE168905	False	[]	2021.07.28	Homo sapiens	GPL16791	True	False	39	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	False		33764154.0	Revealing the target of PASMC from PAH patients and mechanism	The goal of this study is to identify the target of PAH in PASMC from donor control and PAH patients by transcriptome profiling (RNA-seq) and the mechanism from transcriptome profiling (RNA-seq) and histone modification (ChIPseq)		mutant patient;mutant pulmonary arterial hypertension patient;P4;pulmonary arterial smooth muscle cells;H3K27ac;idiopathic pulmonary arterial hypertension patient;donor control
GSE168219	False	[]	2021.07.28	Mus musculus	GPL17021;GPL23479	True	False	16	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	True			RORα is critical for mTORC1 activity in T cell-mediated colitis.	This SuperSeries is composed of the SubSeries listed below.		steady state;KO_microbiota;none;microbial DNA;pRV_RORa_HA_ires_RFP transfected;in vitro Th17;KO_TGFβ_IL6;KO_colitis;WT_microbiota;WT_TGFβ_IL6;Cd4_cre Rora_fl/fl;KO_IL6_IL1β_IL23;HA ChIP antibody (CST,3724);WT_IL6_IL1β_IL23;WT_colitis;Rora_fl/fl;feces;colon CD4+ T cells
GSE168216	True	[['pons']]	2021.07.28	Mus musculus	GPL23479	True	False	8	Expression profiling by high throughput sequencing	False	GSE168219		RORα is critical for mTORC1 activity in T cell-mediated colitis [RNA-seq]	Inflammatory bowel disease (IBD) is multi-factorial chronic intestinal inflammation driven by pathogenic T cells. The mechanisms underlying colitis pathogenicity and anti-TNF therapy resistance are not fully understood. Here we demonstrate that RORα is highly expressed in active UC patients, particularly in those non-responsive to anti-TNF treatment. Rorα deficient CD4+ T cells could not induce severe gut inflammation in a T cell transfer colitis model. Mechanistically, RORα regulated T cell infiltration in colon by promoting T cell migration and inhibiting T cell apoptosis. Meanwhile, genome-wide occupancy and transcriptome analysis revealed that RORα promoted mTORC1 activation. mTORC1 signaling, also hyperactivated in active UC patients, was necessary for T cell-mediated colitis.		KO_TGFβ_IL6;KO_colitis;WT_TGFβ_IL6;Cd4_cre Rora_fl/fl;KO_IL6_IL1β_IL23;WT_IL6_IL1β_IL23;WT_colitis;Rora_fl/fl;colon CD4+ T cells;in vitro Th17
GSE166589	False	[]	2021.07.28	Homo sapiens	GPL20301	True	False	3	Expression profiling by high throughput sequencing	False			Use of Human Adult Stem Cell-Derived Organoid Cultures to Model Enterohepatic Circulation	Organ to organ interactions have not yet been modeled with human organoid cultures. This work demonstrates the coupling of intestinal and liver organoids recapitulates aspects of enterohepatic bile signaling. The integration of organoids can be used to probe intra-organ interactions. Single cell RNA-Seq studies were performed in human liver organoids to examine the heterogeneity of the cultures.		liver;Liver organoid
GSE166248	True	[['pons', 'pons', 'pons']]	2021.07.28	Mus musculus	GPL21103	True	False	14	Expression profiling by high throughput sequencing	False			Global gene expression profile of GC-Tfh cells derived from Peyer's patches at steady state, as well as dLNs from KLH-immunized, influenza-infected, SEA-immunized, ESS-induced mice and of FNg+ Tfh and IFNg-Tfh cells derived from influenza infection	Tfh cells are critical in providing help for B cells in the germinal center reaction. However, with regards to the isotypes of antibodies produced by B cells in responses to distinct pathogens, it is unclear whether and how Tfh cells determine differential antibody isotype responses. Through transcriptional profiling of GC-Tfh cells derived from various types of immune responses, we identified culsters of differentially expressed genes corresponding to Th1, Th2 or Th17 cells. Of special interest, a subset of Tfh cells producing IFNg were generated in an influenza virus infection. In order to understand the transcriptional and functional differences, we performed RNA-sequencing to compare the transcriptional profiles of IFNg+ and IFNg- Tfh cells.		Draining lymph nodes;Peyer's patches;H1N1 PR8 influenza infection;Steady status;SEA immunization;Tfh cell;Tfh cell, IFNg+;C57BL/6;KLH immunization;Experimental Sjogren syndrome;Tfh cell, IFNg-
GSE165610	False	[]	2021.07.28	Homo sapiens	GPL20301	True	False	10	Expression profiling by high throughput sequencing	False		34290311.0	CD276 is an important player in macrophage recruitment into the tumor and an upstream regulator for PAI-1	70-100% of colorectal, prostate, ovarian, pancreatic and breast cancer specimens show expression of CD276 (B7-H3), a potential immune checkpoint family member. Several studies have shown that high CD276 expression in cancer cells correlates with a poor clinical prognosis. This has been associated with the presence of lower tumor infiltrating leukocytes. Among those, tumor-associated macrophages can comprise up to 50% of the tumor mass and are thought to support tumor growth through various mechanisms. However, a lack of information on CD276 function and interaction partner(s) impedes rigorous evaluation of CD276 as a therapeutic target in oncology. Therefore, we aimed to understand the relevance of CD276 in tumor-macrophage interaction by employing a 3D spheroid coculture system with human cells. Our data show a role for tumor-expressed CD276 on the macrophage recruitment into the tumor spheroid, and also in regulation of the extracellular matrix modulator PAI-1. Furthermore, our experiments focusing on macrophage-expressed CD276 suggest that the antibody-dependent CD276 engagement triggers predominantly inhibitory signaling networks in human macrophages.		HCT116-CD276KO_3;HCT116-CD276KO_4;HCT116-CD276KO_5;HCT116;HCT116-CD276KO_1;HCT116-CD276KO_2;HCT116-WT_1;HCT116-WT_4;HCT116-WT_5;CD276KO;HCT116-WT_2;HCT116-WT_3;WT
GSE164885	False	[]	2021.07.28	Homo sapiens	GPL24676	True	False	8	Expression profiling by high throughput sequencing	False		34284720.0	Differential lncRNA expression profile and function analysis in primary Sjogren’s syndrome	Primary Sjögren’s syndrome (pSS) is a chronic autoimmune disease characterized by abnormal immune cell activation. This study aimed to investigate differentially expressed long non-coding RNA (lncRNA) in peripheral blood mononuclear cells (PBMCs) in patients with pSS to identify lncRNAs that affect pSS pathogenesis. Transcriptome sequencing detected 38096 lncRNAs and 50869 mRNAs in PBMCs from patients with pSS and healthy individuals. The differentially expressed mRNAs underwent functional enrichment analysis. A protein interaction relationship (PPI) and ceRNA network was constructed. LncRNA expression in patients with pSS and controls was determined using RT-PCR. 1180 lncRNAs and 640 mRNAs were differentially expressed in pSS patients (fold change > 2 in healthy persons). The PPI network was constructed with 640 mRNAs and a ceRNA network with four key lncRNAs (GABPB1-AS1, PSMA3-AS1, LINC00847 and SNHG1). A co-expression relationship was found between GABPB1-AS1 and several upregulated mRNAs (IFI44, IFI44L, IFI6, and EPSTI1). RT-PCR revealed that GABPB1-AS1 and PSMA3-AS1 were significantly upregulated 3.0- and 1.4-fold in the pSS group, respectively. In patients with pSS, the GABPB1-AS1 expression level was positively correlated with B cell and IgG levels. GABPB1-AS1 expression levels are positively correlated with B cell levels and may be involved in the pathogenesis of pSS.		Heathy control;pSS patient;Primary Sjögren’s syndrome (pSS) patient;Peripheral Blood;PBMCs
GSE163564	True	[['optic'], ['nerve'], ['axon'], ['nerve'], ['axon'], ['nerve'], ['retina', 'retina', 'retina', 'retina']]	2021.07.28	Rattus norvegicus	GPL22396;GPL23945	True	False	12	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	True		34290335.0	Genome wide chromatin accessibility analysis reveals a role for CREB in retinal ganglion cells axon growth decline in development and regeneration after optic nerve injury	This SuperSeries is composed of the SubSeries listed below.		embryonic E21 day;postnatal P11 day;retina;Retinal Ganglion Cell;postnatal day P11;Retinal Ganglion Cells
GSE163563	True	[['brain'], ['neuron'], ['optic', 'optic', 'optic', 'optic'], ['nerve', 'nerve', 'nerve'], ['neuron'], ['axon', 'axon', 'axon', 'axon', 'axon', 'axon', 'axon'], ['nerve', 'nerve', 'nerve'], ['neuron'], ['axon', 'axon', 'axon', 'axon', 'axon', 'axon', 'axon'], ['nerve', 'nerve', 'nerve'], ['retina', 'retina', 'retina', 'retina', 'retina']]	2021.07.28	Rattus norvegicus	GPL23945	True	False	8	Expression profiling by high throughput sequencing	False	GSE163564	34290335.0	Genome wide chromatin accessibility analysis reveals a role for CREB in retinal ganglion cells axon growth decline in development and regeneration after optic nerve injury [RNA-seq]	CNS neurons lose their ability to grow and regenerate axons during development. This is the case for Retinal Ganglion Cells (RGCs) in the retina, which transmit visual information to the brain via axons projecting into the optic nerve. RGCs are unable to regenerate their axon after injury, and start a degeneration process that leads to cell death and loss of vision. To identifying molecular mechanisms that increase regeneration of RGC and may offer new treatment strategies for patients with glaucoma or other types of optic neuropathies, we focused on the identification of transcription factors and chromatin accessible sites that are enriched in RGC during developmental stages, in which axon growth capacity is robust. We find that stage-specific gene expression changes are correlated with temporal changes in promoter chromatin accessibility. We also find that Creb binding motifs are enriched in the differentially opened regions of the chromatin at embryonic developmental stage. Overexpression of active Creb promotes axon regeneration after optic nerve injury. Our results provide a map of the chromatin accessibility during RGC development and highlights that manipulating TF associated with developmental stages can stimulate axon growth in adulthood.		embryonic E21 day;retina;Retinal Ganglion Cell;postnatal day P11
GSE161325	False	[]	2021.07.28	Mus musculus	GPL24247	True	False	21	Expression profiling by high throughput sequencing	True		33353373.0	Factor Xa and factor IIa inhibitors differentially regulate inflammation in myocardial ischemia reperfusion injury	This SuperSeries is composed of the SubSeries listed below.		untreated;Dabi: Dabigatran (fIIai);Untreated;sham;Rivai: Rivaroxaban (fXai);heart tissue;C57BL/6;heart;activated protein c
GSE161324	False	[]	2021.07.28	Mus musculus	GPL24247	True	False	6	Expression profiling by high throughput sequencing	False	GSE161325	33353373.0	Factor Xa and factor IIa inhibitors differentially regulate inflammation in myocardial ischemia reperfusion injury [20-0174 RNA-seq]	While thrombin is the key protease in regard to thrombus formation, other coagulation proteases, such as fXa or activated protein C (aPC), independently modulate intracellular signaling via partially disjunct receptors. Hence, we postulate that inhibition of fXa or fIIa conveys different effects in myocardial ischemia-reperfusion injury (IRI) in regard to inflammation despite comparable anticoagulant efficacy.		Dabi: Dabigatran (fIIai);Untreated;Rivai: Rivaroxaban (fXai);heart tissue;C57BL/6;heart
GSE161323	False	[]	2021.07.28	Mus musculus	GPL24247	True	False	15	Expression profiling by high throughput sequencing	False	GSE161325	33353373.0	Factor Xa and factor IIa inhibitors differentially regulate inflammation in myocardial ischemia reperfusion injury [19-0267 RNA-seq]	While thrombin is the key protease in regard to thrombus formation, other coagulation proteases, such as fXa or activated protein C (aPC), independently modulate intracellular signaling via partially disjunct receptors. Hence, we postulate that inhibition of fXa or fIIa conveys different effects in myocardial ischemia-reperfusion injury (IRI) in regard to inflammation despite comparable anticoagulant efficacy.		untreated;Dabi: Dabigatran (fIIai);sham;Rivai: Rivaroxaban (fXai);heart tissue;C57BL/6;heart;activated protein c
GSE160613	False	[]	2021.07.28	Homo sapiens	GPL570	True	True	8	Expression profiling by array	False		34302038.0	Gene expression data of MKN45 xenograft tumors treated with anti-VEGFR2 and anti-VEGF-A antibodies	The vascular endothelial growth factor (VEGF) /VEGF receptor (VEGFR) axis is an essential regulator of angiogenesis and important therapeutic target in cancer. However, the efficacy of combination treatment with an anti-VEGFR2 antibody and anti-VEGFR-A antibody on tumor progression is not clear. In this study, we examined the anti-tumor effect of the combination treatment using BALB/c-nu/nu mouse xenograft model subcutaneously injected with human gastric cancer MKN45 cells. In this model, we evaluated intra-tumor molecular changes after the combination treatment by cDNA microarray analysis.		Vehicle;antiVEGFR2;MKN45;antiVEGFA;Human Gastric Cancer;antiVEGFR2 and antiVEGFA
GSE160363	False	[]	2021.07.28	Homo sapiens	GPL18573	True	False	2	Expression profiling by high throughput sequencing	False		34298635.0	RNA-sequencing results of MDA-MB-231 with/without OGFOD1	Recently, high levels of OGFOD1 has been reported in variety of cancers. Despite of the significances, the precise mechanism is poor understood. In order to find how OGFOD1 affects the cancer development, we conducted RNA-sequencing in MDA-MB-231. OGFOD1 was knocked out using CRISPR/Cas9 system. Total mRNA was isolated from parental and OGFOD1-knockout (OGFOD1Δ/Δ) MDA-MB-231 cells. Isolated RNA was used to prepare an mRNA sequencing library using TruSeq Stranded mRNA sample preparation kit. All the samples were sequenced on Illumina NextSeq 500 Sequencer with a 75 bp paired-end High Output kit.		Breast cancer cell line;OGFOD1-/-;wild type;MDA-MB-231
GSE152580	True	[['pons', 'pons', 'pons', 'pons']]	2021.07.28	Homo sapiens	GPL16791	True	False	12	Expression profiling by high throughput sequencing	False			Deciphering the gene expression network regulated by ETV7	Cancer stem cells (CSCs) represent a population of cells within the tumor able to drive tumorigenesis and known to be highly resistant to conventional chemotherapy and radiotherapy. In this work, we show a new role for ETV7, a transcriptional repressor member of the ETS family, in promoting breast cancer stem-like cells plasticity and resistance to chemo- and radiotherapy in breast cancer (BC) cells. We observed that MCF7 and T47D BC-derived cells stably over-expressing ETV7 showed reduced sensitivity to the chemotherapeutic drug 5-Flouororuacil and to radiotherapy, accompanied by an adaptive proliferative behavior observed in different culture conditions. We further noticed that alteration of ETV7 expression could significantly affect the population of breast CSCs, measured by CD44+/CD24low cell population and mammosphere formation efficiency. By transcriptome profiling, we identified a signature of Interferon-responsive genes significantly repressed in cells over-expressing ETV7, which could be responsible for the increase in the breast CSCs population, as this could be partially reverted by the treatment with IFN-b. Lastly, we show that the expression of the IFN-responsive genes repressed by ETV7 could have prognostic value in breast cancer, as low expression of these genes was associated with a worse prognosis. Therefore, we propose a novel role for ETV7 in breast cancer stem cells’ plasticity and associated resistance to conventional chemotherapy and radiotherapy, which involves the repression of a group of IFN-responsive genes, potentially reversible upon IFN-b treatment. We, therefore, suggest that an in-depth investigation of this mechanism could lead to novel breast CSCs targeted therapies and to the improvement of combinatorial regimens, possibly involving the therapeutic use of IFN-b, with the aim of avoiding resistance development and relapse in breast cancer.		ETV7;Empty;MCF7;Cell line derivative;Luminal Breast Cancer;T47D
GSE150221	False	[]	2021.07.28	Mus musculus	GPL17021	True	False	6	Expression profiling by high throughput sequencing	False		34299025.0	RNA sequencing analysis of B16-F1, B16-F1R2 and B16-F1R2L	We wanted to correlate the protein cargo of secreted exosomes with gene expression pattern in B16-F1 and B16-F1R2. For that purpose, we performed RNA sequencing analysis of B16-F1, B16-F1R2 and B16-F1R2L (Fig.1E). We identified >3000 genes significantly up-regulated and >1000 significantly down-regulated in B16-F1R2 model compared to B16-F1, using a false discovery rate (FDR) of 0.05.		Mouse melanoma cell line, derived from a lymph node metastasis;B16-F1R2L;American Type Culture Collection (ATCC);Dr. Michael Detmar and Dr. Steven Proulx (ETH Zurich, Switzerland);Mouse melanoma cell line, low metastatic potential;No treatment;Mouse melanoma cell line, from a lung metastasis derived from a lymph node metastasis;B16-F1;B16-F1R2
GSE149833	False	[]	2021.07.28	Homo sapiens	GPL23126	True	True	24	Expression profiling by array	False		34077955.0	Specific targeting of KRAS using a novel antisense oligonucleotide exerts anti-tumor activity in multiple myeloma	The multiple myeloma (MM) mutational landscape has identified alterations in KRAS as the most recurring somatic variant. Combining DNA and RNA sequencing, 756 patients were studied, and KRAS was observed as the most frequently mutated gene in patients at diagnosis; in addition, we demonstrated the persistence or de novo occurrence or the KRAS aberration at disease relapse. After several decades of effort, small molecule inhibitors targeting KRAS have emerged and are showing promising activity in clinical trials. However, these inhibitors are selective for tumors carrying that KRASG12C mutation and will only treat a subset of patients, predominantly with lung or colon tumors where this mutation is most prevalent. Therefore, there is still a need to develop novel therapeutic approachesto target the KRAS mutational events found in other tumor types, including MM. AZD4785, is a potent and selectivetherapeutic antisense oligonucleotide (ASO), tested in phase I clinical trials, which selectively targets and down-regulates all KRAS isoforms. Therefore, we explored the activity of AZD4785 in MM models, demonstrating its ability to strongly down-regulate KRAS andto inhibit the growth of MM cells, both in vitro and in vivo, confirming KRAS as a driver and a therapeutic target in MM.		OPM2;Human Myeloma Cell Line U266_AZD4785 treated;Human Myeloma Cell Line KMS20_AZD4785 treated;Human Myeloma Cell Line KMS20_untreated;Human Myeloma Cell Line OPM2_AZD4785 treated;control;KMS20;Human Myeloma Cell Line MM.1S_untreated;MM.1S;Human Myeloma Cell Line;Human Myeloma Cell Line U266_untreated;AZD4785;U266;Human Myeloma Cell Line MM.1S_AZD4785 treated;Human Myeloma Cell Line OPM2_untreated
GSE147761	False	[]	2021.07.28	Homo sapiens	GPL20795	True	False	22	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing	False		34301266.0	Identification of urinary exosomal non-coding RNAs biomarkers for high-grade prostate cancer using RNA-seq analysis	Prostate cancer is one of the major cancers that seriously affect men's health. The low specificity of prostate-specific antigen (PSA) for prostate cancer has resulted in the overdiagnosis and subsequent overtreatment of clinically indolent tumors. There is an urgent need for noninvasive and easy diagnostic assays to help evaluate whether a prostate biopsy is warranted. Many non-coding RNAs (eg, microRNAs, long non-coding RNAs, circular RNAs) have been reported to play key roles in prostate cancer progression, showing great potential to impact cancer diagnostics and therapies. Remarkably, exosomes secreted by cells into body fluids contain molecules that reflect the disease information, and urinary exosomes could be used to detect prostate cancer as a new type of liquid biopsies. Non-coding RNAs are enriched and stable in exosomes. We performed high-throughput sequencing on urine-derived exosomes of 11 patients with high-grade (Gleason score 7 or greater) prostate cancer and 11 patients with benign prostatic hyperplasia to screen differentially expressed non-coding RNAs.		prostate cancer_urinary exosome;prostate cancer;urine;Gleason score 7 or greater;benign prostatic hyperplasia_urinary exosome;benign prostatic hyperplasia
GSE144293	False	[]	2021.07.28	Homo sapiens	GPL16791	True	False	19	Expression profiling by high throughput sequencing	False		34298727.0	HPV genome expression at invasive cervical carcinomas infected by multiple HPV genotypes	Multiple HPV genotypes infection is frequently detected in HPV+ cervical lesions, however it is not well stablished how is the different viral interaction during the carcinogenic process. Here we carried out a comprehensive study to characterize the multiple HPV genome expression and integration by RNA-Seq analysis in 19 invasive cervical carcinomas with HPV coinfections. Analysis of tumoral DNA by a hybridization kit indicated multi-infection ranging from 2 to 6 different HPV genotypes, without a preferential species coinfection. The expression analysis showed that a single HPV genotype preferentially expressed its genome, might indicating a competition between the infecting virus. Finally, the search for HPV/human chimeric transcripts indicated integration from just one HPV in almost all samples, corroborating the expression findings.		Adenocarcinoma;Squamous cell carcinoma;Unknown;Multiple HPV genotypes infected;Uterine cervix;uterine cervix tumor with multiple HPV genotype infection
GSE141933	False	[]	2021.07.28	Mus musculus	GPL17021	True	False	24	Expression profiling by high throughput sequencing	False			P220-1: CDK8 in Treg differentiation	Immune health requires innate and adaptive immune cells to engage precisely balanced pro- and anti-inflammatory forces. A holistic understanding of how individual small molecules affect this balance is essential to anticipate immune-related side effects, select mitigating immunomodulatory therapies and highlight novel utility as immunomodulators. We previously showed that the high-specificity, low-toxicity cyclin dependent kinase 8 (CDK8) inhibitor DCA promotes tolerogenic effects in innate immune cells. Here, we demonstrate that DCA exerts a novel profile of tolerogenic activity on CD4+ T cells, promoting Treg and Th2 while inhibiting Th1 and Th17 differentiation. DCA enhances human Treg differentiation and our models demonstrate clear tolerogenic function of DCA-driven Tregs in the absence of confounding contribution from DCA-innate immune interactions. DCA engages unique mechanisms, including specifically enhancing early Foxp3 expression via regulating c-Jun phosphorylation, to promote Treg differentiation. CDK8 inhibitors are currently being developed to treat cancer; our findings suggest that the potential blunting of host-versus-tumor effects may warrant ancillary pro-inflammatory agents. Importantly, these results highlight novel utility of DCA as an immunomodulator, not only in vivo, but also in ex vivo cellular therapy.		2019-01-28;CD3/28;2019-02-01;none;M;2019-01-30;CD62L+ GFP- CD4+;GFP- CD4+;2 ng/mL TGFB;10 ng/mL TGFB;Sorted Cells;GFP+ CD4+;4 day;DCA + 2 ng/mL TGFB;naive;2 day
GSE117877	True	[['brain', 'brain', 'brain', 'brain'], ['amygdala', 'amygdala', 'amygdala'], ['cortex'], ['cortex'], ['cortex'], ['cortex'], ['neuron'], ['cortex'], ['neuron'], ['cortex'], ['neuron']]	2021.07.28	Mus musculus	GPL21493	True	False	12	Expression profiling by high throughput sequencing	False			A candidate causal variant underlying both enhanced cognitive performance and increased risk of bipolar disorder	Bipolar disorder is a highly heritable mental illness, but the relevant genetic variants and molecular mechanisms are largely unknown. Recent GWAS’s have identified an intergenic region associated with both enhanced cognitive performance and bipolar disorder. This region contains dozens of putative fetal brain-specific enhancers and is located ~0.7 Mb upstream of the neuronal transcription factor POU3F2. We identified a candidate causal variant, rs77910749, that falls within a highly conserved putative enhancer, LC1. This human-specific variant is a single-base deletion in a PAX6 binding site and is predicted to be functional. We hypothesized that rs77910749 alters LC1 activity and hence POU3F2 expression during neurodevelopment. Indeed, transgenic reporter mice demonstrated LC1 activity in the developing cerebral cortex and amygdala. Furthermore, ex vivo reporter assays in embryonic mouse brain and human iPSC-derived cerebral organoids revealed increased enhancer activity conferred by the variant. To probe the in vivo function of LC1, we deleted the orthologous mouse region, which resulted in amygdala-specific changes in Pou3f2 expression. Lastly, ‘humanized’ rs77910749 knock-in mice displayed behavioral defects in sensory gating, an amygdala-dependent endophenotype seen in patients with bipolar disorder. Our study suggests a molecular mechanism underlying the long-speculated link between higher cognition and neuropsychiatric disease.		embryonic day 14.5 (E14.5);Wild-type for rs77910749;C57BL/6J;female;wild-type;brain;Homozygous for rs77910749 knock-in;LC1 knockout;male;brain homogenate
GSE180913	True	[['brain', 'brain', 'brain'], ['vta', 'vta'], ['midbrain', 'midbrain', 'midbrain'], ['striatum', 'striatum'], ['dopamin', 'dopamin', 'dopamin'], ['midbrain', 'midbrain', 'midbrain'], ['midbrain', 'midbrain', 'midbrain'], ['striat', 'striat', 'striat'], ['cortex'], ['cortex'], ['cortex'], ['cortex'], ['neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron'], ['dopamin', 'dopamin', 'dopamin'], ['dopamine', 'dopamine', 'dopamine'], ['cortex'], ['neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron'], ['axon', 'axon', 'axon', 'axon', 'axon'], ['cortex'], ['neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron', 'neuron'], ['axon', 'axon', 'axon', 'axon', 'axon']]	2021.07.27	Mus musculus	GPL19057	True	False	394	Expression profiling by high throughput sequencing	False			Subcellular and regional localization of mRNA translation in midbrain dopamine neurons	Local translation within excitatory and inhibitory neurons is known to be involved in neuronal development and synaptic plasticity. Despite the extensive dendritic and axonal arborizations of monoaminergic neurons, the subcellular localization of protein synthesis has not been well-characterized in these populations. Here, we investigated mRNA localization in midbrain dopaminergic (mDA) neurons, cells with enormous axonal and dendritic projections, both of which can release dopamine (DA). Using highly-sensitive sequencing and imaging approaches in mDA axons, we found no evidence for axonal mRNA localization or translation. In contrast, we found that mDA neuronal dendritic projections into the substantia nigra reticulata (SNr) contain ribosomes and mRNAs encoding the DA synthesis, release, and reuptake machinery. Surprisingly, we found dendritic localization of mRNAs encoding synaptic vesicular release proteins in mDA neurons. Our results are consistent with a role for local translation in the regulation of DA transmission from dendrites, but not striatal axons. Finally, we defined a molecular signature of sparse mDA neurons in the SNr, including enrichment of an ER calcium pump previously undescribed in mDA neurons.		RiboTag_IP_SNr;PB008;PB009;PB007;PB003;polyA RNA;P21;striatum;PB011;PB012;RiboTag_Input_Str_Syn;FASS_Ctx_Syn;rRNA-depleted total RNA;RiboTag_DATCrePos;ventral tagmental area;ventral midbrain synaptosome;FASS_Str_Syn;striatum synaptosome;P31;RiboTag_IP_SNc;DATCrePos_AAV_EGFP;RiboTag_IP_Str_Syn;PB020;RiboTag_IP_VM_Syn;RiboTag_Input_Str;RiboTag_Input_SNc;substantia nigra reticulata;SmallParticle_Str_Syn;SmallParticle_Ctx_Syn;RiboTag_Input_SNr;RiboTag_Input_VM_Syn;P90-150;cortex synaptosome;RiboTag_IP_VTA;small particle synaptosome;fluorescence activated synaptosome sorting;P0;RiboTag_DATCreNeg;P90;P7;RiboTag_Input_VTA;BH001;RiboTag_IP_Str;substantia nigra pars compacta;RiboTag immunoprecipitation;P14;RiboTag input;10-14mo;VGLUT1_VENUS
GSE180834	False	[]	2021.07.27	Mus musculus	GPL24247	True	False	42	Expression profiling by high throughput sequencing; Other	False			Genome-wide CRISPR screen to identfy immune evasion genes in pancreatic cancer	Here we systematically dissected PDA intrinsic mechanisms of immune evasion by in vitro and in vivo CRISPR screening. Beyond the conserved set of genes regulating anti-cancer immunity we identified Rnf31 and Vps4b as essential factors required for escaping CD8+ T cell-killing. While the absence of Rnf31 induced sensitivity to T cell killing through TNF-mediated apoptosis in murine cancer cells and human PDA organoids, loss of Vps4b abrogated functional autophagy, resulting in accumulation of CD8+ T cell-derived granzyme B and subsequent tumor cell lysis.		Stat1-KO;no;Pancreatic cancer;Rnf31-KO;Pancreas;Vps4b-KO;WT;KPC;CD8 T cells;CD8 T cells_invivo
GSE180822	False	[]	2021.07.27	Mus musculus	GPL19057	True	False	6	Expression profiling by high throughput sequencing	False			Three-axis classification of mouse lung mesenchymal cells reveals two populations of myofibroblasts	The mesenchyme consists of heterogeneous cell populations that support neighboring structures and are integral to intercellular signaling. Despite such importance, mesenchymal cell types are poorly defined morphologically and molecularly, lagging behind their counterparts in the epithelial, endothelial, and immune lineages. Leveraging single-cell RNA-seq, three-dimensional imaging, and lineage tracing, we classify the mouse lung mesenchyme into three proximal-distal axes that are associated with the endothelium, epithelium, and interstitium, respectively. From proximal to distal, (1) the vascular axis includes vascular smooth muscle cells and pericytes that transition as arterioles and venules ramify into capillaries; (2) the epithelial axis includes airway smooth muscle cells and two populations of myofibroblasts: ductal myofibroblasts, surrounding alveolar ducts and marked by CDH4, HHIP, and LGR6, which persist post-alveologenesis, and alveolar myofibroblasts, surrounding alveoli and marked by high expression of PDGFRA, which undergo developmental apoptosis; (3) the interstitial axis, residing between the epithelial and vascular trees and sharing a newly-identified marker MEOX2, includes fibroblasts in the bronchovascular bundle and the alveolar interstitium that are marked by IL33 and Wnt2, respectively. Single-cell imaging reveals distinct morphology of each mesenchymal cell population. This classification provides a conceptual and experimental framework applicable to other organs.		P13;P7;P70;wildtype;E17;E19;mesenchymal cells;Whole lung;P20
